Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-03-14 16:29:29,false,"Tuzla Running","5.08","451","00:32:11","164","177","3.9","147","152","6:20","5:40","38","41","1.07","8.8","9.4","320","6:21","362","0.0","359","463","4,736","-11","--","No","00:00:27.5","6","--","00:32:10","00:32:11","128","140"
Treadmill Running,2026-03-08 17:14:19,false,"Treadmill Running","5.00","470","00:33:22","166","176","3.8","141","150","6:40","6:16","--","--","1.08","8.7","9.3","338","--","329","0.0","326","369","4,688","-9","--","No","00:00:19.0","6","--","00:32:58","00:33:22","--","--"
Running,2026-02-19 16:52:23,false,"Tuzla Running","5.01","459","00:32:58","165","173","3.2","148","150","6:35","5:02","22","25","1.03","8.9","9.2","321","6:36","344","0.0","341","465","4,852","-8","--","No","00:00:04.0","6","--","00:32:54","00:32:58","130","140"
Treadmill Running,2026-02-14 15:25:14,false,"Treadmill Running","6.50","646","00:45:17","165","179","3.7","138","221","6:58","6:08","--","--","1.06","8.6","9.1","335","--","327","0.0","311","376","6,248","-10","--","No","00:04:18.0","7","--","00:44:49","00:45:17","--","--"
Treadmill Running,2026-02-12 16:43:56,false,"Treadmill Running","6.06","614","00:46:22","161","177","3.6","130","240","7:39","6:08","--","--","1.00","8.3","8.3","335","--","306","0.0","262","373","6,040","-11","--","No","00:00:55.1","7","--","00:45:31","00:46:22","--","--"
Treadmill Running,2026-02-09 16:31:49,false,"Treadmill Running","6.00","596","00:46:06","160","176","3.8","131","240","7:41","6:15","--","--","0.99","8.3","8.2","338","--","302","0.0","259","352","6,010","-13","--","No","00:06:22.2","6","--","00:45:13","00:46:06","--","--"
Treadmill Running,2026-02-07 17:51:52,false,"Treadmill Running","6.00","594","00:46:20","159","177","4.0","130","223","7:43","6:31","--","--","0.98","8.2","8.1","340","--","284","0.0","251","346","6,032","-13","--","No","00:06:45.1","6","--","00:45:44","00:46:20","--","--"
Treadmill Running,2026-02-04 16:53:56,false,"Treadmill Running","6.00","584","00:46:42","159","177","4.0","131","231","7:47","6:20","--","--","0.98","8.2","8.1","334","--","289","0.0","253","357","6,090","-13","--","No","00:00:19.9","7","--","00:46:13","00:46:42","--","--"
Treadmill Running,2026-02-02 16:44:10,false,"Treadmill Running","6.00","618","00:46:15","161","183","4.3","132","226","7:43","5:40","--","--","1.01","8.2","8.3","330","--","311","0.0","271","405","6,062","-12","--","No","00:02:14.2","7","--","00:45:35","00:46:21","--","--"
Running,2025-11-12 16:49:51,false,"Tuzla Running","6.23","559","00:40:05","161","170","3.4","148","152","6:26","5:46","32","38","1.05","8.8","9.3","318","6:26","354","0.0","351","448","5,940","-10","--","No","00:01:28.4","7","--","00:40:04","00:40:05","127","139"
Running,2025-11-11 16:58:24,false,"Tuzla Running","10.31","916","01:06:08","161","171","3.8","148","150","6:25","5:50","53","57","1.06","8.8","9.3","320","6:25","352","0.0","350","432","9,736","-17","--","No","00:01:58.5","11","--","01:06:06","01:06:08","127","140"
