pbp_id,date,tny_name,tour,draw,server1,server2,winner,pbp,score_pbp,adf_flag,wh_minutes,date_dt,year,p1_n,p2_n,winner_n,loser_n,score_n,match_key_local,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score_atp,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,pressure_level,_merge,match_id,rank_gap_abs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031689,05 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Gilles Muller,Edouard Roger-Vasselin,1,SARSS;RSSSS;SAAS;SRSRSS;DSRSAS;SRSSS;AARRSA;SSRSS;SSAS;SSSS;RSSSRA;SSSS;S/SS/SR/RR/RR/RS/SR/RS/SS/SS/SS/SS/R.SRSRRR;SAAS;ASSS;SSAS;DSRSSRRSRR;SRAAS;RRRD.RSSAA;SSRSA;SDRSSA;SSSA;SARRSDSA;SSSRRS;ARRRAR;SRSRRR;SASS;SSAS;SSRRDARSAS;RSRSSS;A/SR/SA/SR/RA/D,6-7(11) 6-1 7-6(3),1,142,2015-01-05,2015,gilles muller,edouard roger vasselin,gilles muller,edouard roger vasselin,6-7(11) 6-1 7-6(3),8332,2015-891,Chennai,Hard,28.0,A,20150105.0,3.0,104180.0,8.0,,Gilles Muller,L,193.0,LUX,31.6,104273.0,,,Edouard Roger-Vasselin,R,185.0,FRA,31.1,6-7(11) 6-1 7-6(3),3.0,R32,143.0,29.0,4.0,100.0,65.0,49.0,23.0,15.0,3.0,4.0,4.0,3.0,101.0,69.0,50.0,16.0,16.0,1.0,5.0,46.0,855.0,116.0,470.0,lower,both,7031689,70.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031687,05 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Robin Haase,Borna Coric,2,SSRSRS;RSRRSSRSSS;RRRR;SSSA;RRSSSS;SSAS;RSRRSR;RDSSAS.RRRR;SRSRRSRR;ARSRSRRSRR;ASRSS;RSRRR;RSSSS;SSSRS;RSRSSS,6-2 6-2,1,65,2015-01-05,2015,robin haase,borna coric,borna coric,robin haase,6-2 6-2,8333,2015-891,Chennai,Hard,28.0,A,20150105.0,1.0,106432.0,,,Borna Coric,R,188.0,CRO,18.1,104898.0,,,Robin Haase,R,191.0,NED,27.7,6-2 6-2,3.0,R32,66.0,4.0,1.0,48.0,26.0,21.0,12.0,8.0,4.0,5.0,1.0,0.0,46.0,27.0,14.0,5.0,8.0,2.0,7.0,95.0,557.0,80.0,620.0,lower,both,7031687,15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031688,06 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Elias Ymer,Igor Sijsling,1,RDRSASSS;SRSSRS;RSSSS;RRSRR;SSSRRS;SSRRSS;RSARRD;SRSSS;RSSSA;RSDRR.SRSSS;SRARRSSRSRSS;RSRRR;SRRSDD;SSSRS;SSSS;RSSSRS;SSSDRRSRRSSRSRSS;SRRRSR;SDSSS.RRSSSS;DRSSSA;SSSS;SRRSSRRSSRRSSS;SSRSS;RRDR;SSSS;SSSA;SSSS,6-4 4-6 6-3,1,105,2015-01-06,2015,elias ymer,igor sijsling,elias ymer,igor sijsling,6-4 4-6 6-3,8334,2015-891,Chennai,Hard,28.0,A,20150105.0,2.0,111200.0,,WC,Elias Ymer,R,185.0,SWE,18.7,104997.0,,,Igor Sijsling,R,191.0,NED,27.3,6-4 4-6 6-3,3.0,R32,106.0,3.0,2.0,80.0,55.0,39.0,15.0,15.0,4.0,7.0,3.0,7.0,98.0,62.0,43.0,13.0,14.0,4.0,8.0,227.0,210.0,81.0,619.0,lower,both,7031688,146.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7039828,06 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Luca Vanni,Ricardas Berankis,2,RSRRR;SRSSRS;SSSA;RRSSSS;RRSSSRRR;SSRRSRSS;RSSRRR.RSRRSSRR;DSSSS;SSSS;SSRSRA;SSSA;RRSSSS;RARRR;RSSRARSA.SSSDS;SRRSSA;SASRS;SSSA;DSRRD;RASRRR;SRSSRRRSSRSS;SSSRRS;SSSS;ARSAS;SSSA;RRRASR,6-1 2-6 7-5,1,108,2015-01-06,2015,luca vanni,ricardas berankis,ricardas berankis,luca vanni,6-1 2-6 7-5,8335,2015-891,Chennai,Hard,28.0,A,20150105.0,4.0,105575.0,,,Ricardas Berankis,R,175.0,LTU,24.5,104563.0,,Q,Luca Vanni,R,198.0,ITA,29.5,6-1 2-6 7-5,3.0,R32,109.0,4.0,3.0,76.0,46.0,33.0,16.0,13.0,3.0,6.0,11.0,1.0,81.0,46.0,30.0,17.0,14.0,2.0,7.0,83.0,605.0,148.0,353.0,lower,both,7039828,65.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7039829,06 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,N. Vijay Sundar Prashanth,Jiri Vesely,2,RRSSSRRR;SSSRRS;RRSSSS;SSRAS;RRSRSSRR;SARSRRSS;SSSS;SSRSS.RSSRSS;RSSSS;SRRSRSRR;RSSSA;RSSRRSRSRR;SDASS;RRSRR,6-2 6-1,1,67,2015-01-06,2015,n vijay sundar prashanth,jiri vesely,jiri vesely,n vijay sundar prashanth,6-2 6-1,8337,2015-891,Chennai,Hard,28.0,A,20150105.0,5.0,106210.0,,,Jiri Vesely,L,198.0,CZE,21.4,104822.0,,Q,N Vijay Sundar Prashanth,R,178.0,IND,28.1,6-2 6-1,3.0,R32,67.0,4.0,1.0,39.0,23.0,20.0,9.0,7.0,0.0,0.0,0.0,0.0,55.0,28.0,12.0,14.0,8.0,5.0,10.0,65.0,741.0,557.0,56.0,lower,both,7039829,492.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7039831,06 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Lukas Lacko,Aljaz Bedene,2,SSSS;SRRSSA;SRRSRSSS;DRSSSRAS;RSSSS;RSASA;SSSS;RSSRDSSRSDSA;RRSADSSS;RRASSRRSSS;RRSSSRRSSRSS;SSRSRRRSSS;R/SS/RR/SA.RASSS;RSRSRSRR;RSSDSS;SSSA;SSSS;RSASRRDSRSSS;RSAAA;RRSSSA;SSSS,7-6(0) 6-3,1,95,2015-01-06,2015,lukas lacko,aljaz bedene,aljaz bedene,lukas lacko,7-6(0) 6-3,8338,2015-891,Chennai,Hard,28.0,A,20150105.0,12.0,105379.0,,Q,Aljaz Bedene,R,181.0,SLO,25.4,105041.0,,,Lukas Lacko,R,185.0,SVK,27.1,7-6(0) 6-3,3.0,R32,96.0,11.0,4.0,79.0,40.0,37.0,19.0,11.0,3.0,3.0,5.0,2.0,74.0,49.0,35.0,12.0,10.0,6.0,7.0,156.0,325.0,88.0,576.0,lower,both,7039831,68.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031691,06 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Yen-Hsun Lu,Somdev Devvarman,1,SRSSS;SSSS;RSSRRSSS;RSRRR;SSRSS;SRSDSA;SSRRRR;RRRR;SSSS.RSSRRSRR;RASSRS;RRRSSSSRRSRSAS;SSSRS;SRRSSS;SRRRR;RSRRSR;SRSSS;RSRSSRAS;SRSSS,6-3 6-4,1,80,2015-01-06,2015,yen hsun lu,somdev devvarman,yen hsun lu,somdev devvarman,6-3 6-4,8339,2015-891,Chennai,Hard,28.0,A,20150105.0,7.0,104229.0,6.0,,Yen Hsun Lu,R,180.0,TPE,31.3,104500.0,,WC,Somdev Devvarman,R,180.0,IND,29.8,6-3 6-4,3.0,R32,80.0,2.0,0.0,54.0,31.0,22.0,14.0,10.0,1.0,3.0,3.0,1.0,61.0,38.0,22.0,9.0,9.0,7.0,11.0,38.0,993.0,136.0,381.0,lower,both,7031691,98.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031692,06 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Pablo Carreno-Busta,Alejandro Gonzalez,1,RRRSSSSRSS;RRSRR;RSSRDR;RRRR;SSRRSS;RRRSD;SSSS.RASSS;SRSSS;SRRSRR;SSRSS;SRRSSRSA;RSSSS;RSSSRS;SSSRA;DRRSSR,6-1 6-3,1,55,2015-01-06,2015,pablo carreno busta,alejandro gonzalez,pablo carreno busta,alejandro gonzalez,6-1 6-3,8340,2015-891,Chennai,Hard,28.0,A,20150105.0,8.0,105807.0,,,Pablo Carreno Busta,R,188.0,ESP,23.4,105292.0,,,Alejandro Gonzalez,R,190.0,COL,25.9,6-1 6-3,3.0,R32,60.0,1.0,1.0,46.0,23.0,20.0,12.0,8.0,3.0,4.0,2.0,2.0,45.0,24.0,12.0,7.0,8.0,3.0,8.0,49.0,841.0,109.0,507.0,lower,both,7031692,60.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7039830,06 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Guillermo Garcia-Lopez,Evgeny Donskoy,1,RRSSSRRR;SRSDRR;DRRSR;RRSRSD;RSRRASSS;RSSDRSSA;SRSSRS;SSSS;SSSS;SRSRAS;SSSS;SSRRAS;R/RS/SR/SS/RS/S.RRRSR;SRASS;RSSRSS;SSSS;RRDR;SSSS;RARSSS;RSSSS.SSSS;SSSS;ARASRS;SSRAS;RRRR;SSSS;DRSRSSSS;SSSA;SRRSSRSRDR,6-7(3) 6-2 6-3,1,114,2015-01-06,2015,guillermo garcia lopez,evgeny donskoy,guillermo garcia lopez,evgeny donskoy,6-7(3) 6-2 6-3,8341,2015-891,Chennai,Hard,28.0,A,20150105.0,10.0,104198.0,5.0,,Guillermo Garcia Lopez,R,188.0,ESP,31.5,105539.0,,Q,Evgeny Donskoy,R,185.0,RUS,24.6,6-7(3) 6-2 6-3,3.0,R32,115.0,4.0,1.0,75.0,41.0,31.0,24.0,14.0,3.0,5.0,6.0,6.0,94.0,51.0,31.0,20.0,15.0,5.0,11.0,36.0,1020.0,129.0,421.0,lower,both,7039830,93.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031693,06 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Peter Gojowczyk,Alejandro Falla,1,SRRRSSSRRSSS;RSRSRR;SSSS;RSRSRR;RRSSSS;SRSRSRRSRR.RSARSS;SSRRRR;SSSRS;SSSS;SSRSA;RRRR;SSSS,6-0 6-1,1,37,2015-01-06,2015,peter gojowczyk,alejandro falla,peter gojowczyk,alejandro falla,6-0 6-1,8342,2015-891,Chennai,Hard,28.0,A,20150105.0,9.0,105376.0,,,Peter Gojowczyk,R,188.0,GER,25.4,104268.0,,,Alejandro Falla,L,185.0,COL,31.1,6-0 6-1,3.0,R32,43.0,2.0,0.0,42.0,21.0,18.0,13.0,7.0,3.0,3.0,0.0,0.0,36.0,20.0,9.0,5.0,6.0,1.0,6.0,102.0,539.0,113.0,496.0,lower,both,7031693,11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
